"id","category","title","content","keywords"
"43","特征工程","什么是特征工程","特征工程是指利用领域知识从原始数据中提取、构造和选择对模型有用的特征的过程。它包括数据清洗、特征提取、特征变换、特征选择等。有句名言：数据和特征决定了机器学习的上限，模型和算法只是逼近这个上限。特征工程往往比调参更能提升效果。","特征工程,特征提取,特征选择,数据清洗,特征构造"
"44","特征工程","缺失值处理","缺失值处理方法包括：删除（删除含缺失的行或列，适合缺失比例小）、填充（用均值、中位数、众数填充数值/类别特征，或用模型预测填充）、标记（新增一列标记是否缺失）。中位数对异常值更鲁棒。处理策略应根据缺失比例和缺失机制决定。","缺失值,均值填充,中位数,删除,数据清洗"
"45","特征工程","异常值处理","异常值（离群点）是明显偏离其他数据的值。检测方法有 3σ 原则（超出均值±3 倍标准差）、箱线图（IQR 法，超出上下四分位 1.5 倍 IQR）、Z-score。处理方式包括删除、替换（用边界值截断/盖帽）、单独建模。需结合业务判断异常值是噪声还是有意义的信号。","异常值,离群点,3σ原则,箱线图,IQR"
"46","特征工程","数据标准化","标准化（Standardization / Z-score）将特征转换为均值为 0、标准差为 1 的分布，公式为 (x-μ)/σ。它不改变数据分布形状，对异常值相对鲁棒，适用于大多数算法，尤其是基于距离的 KNN、SVM 和需要梯度下降的模型。","标准化,Z-score,均值,标准差,归一化"
"47","特征工程","数据归一化","归一化（Min-Max Normalization）将特征线性缩放到固定区间（通常 [0,1]），公式为 (x-min)/(max-min)。它保留原始数据分布，但对异常值敏感。适用于数据范围明确、需要将特征压缩到特定区间的场景，如图像像素、神经网络输入。","归一化,Min-Max,缩放,区间,异常值敏感"
"48","特征工程","标准化与归一化的区别","归一化把数据缩放到固定区间（如 [0,1]），受最大最小值影响、对异常值敏感；标准化把数据转换为均值 0、方差 1 的分布，对异常值更鲁棒、不限定范围。基于距离或梯度的算法（KNN、SVM、神经网络）都需要量纲统一，树模型则不需要。","标准化,归一化,区别,量纲,异常值"
"49","特征工程","独热编码One-Hot","独热编码用于处理无序的类别特征。它把一个有 N 个取值的类别特征转换为 N 个二元（0/1）特征，每个样本只有对应类别为 1，其余为 0。优点是不引入类别间的虚假大小关系，缺点是类别多时维度爆炸。适合无序类别（如颜色、城市）。","独热编码,One-Hot,类别特征,无序,维度"
"50","特征工程","标签编码Label Encoding","标签编码把类别特征映射为整数（如 红=0、绿=1、蓝=2）。它不增加维度，但会引入数值大小关系，可能误导模型认为类别间有顺序。因此适合有序类别（如学历、评级）或树模型；对无序类别用于线性模型时应改用独热编码。","标签编码,Label Encoding,整数映射,有序类别,树模型"
"51","特征工程","特征选择方法","特征选择从原始特征中挑出最有用的子集，可降低维度、防止过拟合、提升效率。方法分三类：过滤法（按相关系数、卡方、互信息等统计指标筛选，与模型无关）、包裹法（如递归特征消除 RFE，用模型效果评估子集）、嵌入法（如 Lasso、树模型的特征重要性）。","特征选择,过滤法,包裹法,嵌入法,RFE"
"52","特征工程","降维与PCA","降维把高维数据映射到低维空间，缓解维度灾难、便于可视化。主成分分析（PCA）是最常用的线性降维方法，它通过正交变换找到数据方差最大的几个方向（主成分），用少数主成分表示数据，尽量保留原始信息。PCA 是无监督的，会损失部分信息和可解释性。","降维,PCA,主成分分析,方差,维度灾难"
"53","特征工程","维度灾难","维度灾难指随着特征维度增加，数据在空间中变得极其稀疏，样本间距离趋于相等，导致基于距离的算法失效、所需样本量指数增长、模型容易过拟合。解决办法是降维（PCA）、特征选择或获取更多数据。维度并非越多越好。","维度灾难,高维稀疏,距离失效,降维,过拟合"
"54","特征工程","文本特征提取TF-IDF","TF-IDF（词频-逆文档频率）是文本特征提取的经典方法。TF 衡量词在文档中的出现频率，IDF 衡量词的区分能力（在越少文档中出现越重要）。TF-IDF = TF × IDF，能突出文档中重要且有区分度的词，常用于文本分类、信息检索、关键词提取。","TF-IDF,词频,逆文档频率,文本特征,信息检索"
"55","特征工程","词袋模型","词袋模型（Bag of Words）是最简单的文本表示方法。它忽略词序和语法，只统计每个词在文档中出现的次数，把文本表示成一个词频向量。优点是简单直观，缺点是忽略语义和顺序、向量稀疏高维。它是 TF-IDF 和许多文本模型的基础。","词袋模型,Bag of Words,词频向量,文本表示,稀疏"
"56","特征工程","中文分词","中文不像英文有空格天然分隔，需要分词把句子切成词语，是中文文本处理的第一步。常用工具有 jieba、HanLP、THULAC。jieba 支持精确模式、全模式、搜索引擎模式，可自定义词典。分词质量直接影响后续文本分类、检索等任务的效果。","中文分词,jieba,词语切分,文本预处理,词典"
"57","神经网络","什么是人工神经网络","人工神经网络（ANN）是模拟生物神经系统的计算模型，由大量神经元（节点）分层连接而成，包括输入层、隐藏层和输出层。每个连接有权重，神经元通过加权求和并经激活函数输出。网络通过反向传播算法调整权重来学习。它是深度学习的基础。","神经网络,神经元,隐藏层,权重,深度学习"
"58","神经网络","感知机","感知机是最简单的神经网络，由 Rosenblatt 提出，可看作单层神经元。它对输入加权求和后经阶跃函数输出 0 或 1，只能解决线性可分问题（无法解决异或问题）。多层感知机（MLP）通过引入隐藏层解决了非线性问题，是现代神经网络的雏形。","感知机,单层,线性可分,异或问题,MLP"
"59","神经网络","激活函数的作用","激活函数为神经网络引入非线性，使其能拟合复杂的非线性关系。若没有激活函数，多层网络等价于单层线性模型。常见激活函数有 Sigmoid、Tanh、ReLU、Leaky ReLU、Softmax。激活函数的选择影响梯度传播和训练效果。","激活函数,非线性,ReLU,Sigmoid,Softmax"
"60","神经网络","ReLU激活函数","ReLU（修正线性单元）的表达式为 f(x)=max(0,x)，即负数置零、正数保留。它计算简单、收敛快，能有效缓解梯度消失问题，是目前最常用的激活函数。缺点是负区间梯度为 0 可能导致神经元死亡，改进版有 Leaky ReLU、PReLU、ELU。","ReLU,修正线性单元,梯度消失,神经元死亡,Leaky ReLU"
"61","神经网络","Softmax函数","Softmax 函数常用于多分类神经网络的输出层，它把一组实数转换为概率分布，使各输出非负且总和为 1，最大值对应预测类别。公式为 e^(zi)/Σe^(zj)。它是 Sigmoid 在多分类上的推广，通常与交叉熵损失配合使用。","Softmax,多分类,概率分布,输出层,交叉熵"
"62","神经网络","反向传播算法","反向传播（Backpropagation）是训练神经网络的核心算法。它先前向传播计算输出和损失，再利用链式法则从输出层向输入层逐层计算损失对各权重的梯度，然后用梯度下降更新权重。反向传播高效地解决了多层网络的参数求导问题。","反向传播,链式法则,梯度,前向传播,权重更新"
"63","神经网络","梯度下降法","梯度下降是优化模型参数的核心方法，通过沿损失函数梯度的反方向迭代更新参数来最小化损失。学习率控制每步更新的幅度。变体有：批量梯度下降（用全部样本）、随机梯度下降 SGD（用单个样本）、小批量梯度下降（用一小批样本，最常用）。","梯度下降,学习率,SGD,小批量,损失最小化"
"64","神经网络","学习率的作用","学习率（learning rate）是梯度下降中控制参数更新步长的超参数。学习率过大可能越过最优解甚至发散震荡；过小则收敛缓慢、易陷入局部最优。实践中常用学习率衰减、自适应优化器（Adam、RMSprop）来动态调整学习率。","学习率,步长,收敛,发散,Adam"
"65","神经网络","损失函数","损失函数衡量模型预测值与真实值的差距，是优化的目标。回归常用均方误差 MSE、平均绝对误差 MAE；分类常用交叉熵损失（二分类用二元交叉熵，多分类用类别交叉熵）。训练的目标就是通过梯度下降最小化损失函数。","损失函数,MSE,交叉熵,优化目标,代价函数"
"66","神经网络","梯度消失与梯度爆炸","深层网络训练时，梯度通过反向传播逐层相乘。梯度消失指梯度越传越小趋近 0，使前层几乎不更新（常因 Sigmoid 等饱和激活函数引起）；梯度爆炸指梯度越传越大导致参数剧烈震荡。解决方法有 ReLU 激活、批归一化、残差连接、梯度裁剪、合理初始化。","梯度消失,梯度爆炸,反向传播,批归一化,残差连接"
"67","神经网络","Dropout正则化","Dropout 是神经网络中防止过拟合的正则化技术。训练时按一定概率随机丢弃（置零）部分神经元，使网络不依赖特定神经元，相当于训练多个子网络的集成。测试时使用全部神经元。Dropout 能有效提升泛化能力，常用比例为 0.2~0.5。","Dropout,正则化,随机丢弃,过拟合,集成"
"68","神经网络","批归一化BatchNorm","批归一化（Batch Normalization）对每一层的输入按小批量进行标准化（均值 0、方差 1）再缩放平移。它能加速训练收敛、允许更大学习率、缓解梯度消失、并有轻微正则化效果，使深层网络训练更稳定。是现代深度网络的标准组件。","批归一化,BatchNorm,标准化,加速收敛,梯度消失"
"69","神经网络","卷积神经网络CNN","卷积神经网络（CNN）专门处理图像等网格数据。核心是卷积层（用卷积核提取局部特征，参数共享）、池化层（下采样降维、保留主要特征）和全连接层。CNN 具有局部连接、权值共享、平移不变性等特点，在图像分类、目标检测中表现卓越。","CNN,卷积,池化,权值共享,图像识别"
"70","神经网络","池化层的作用","池化（Pooling）是 CNN 中的下采样操作，对特征图的局部区域取最大值（最大池化）或平均值（平均池化），从而减小特征图尺寸、降低计算量和参数数量、扩大感受野，并提供一定的平移不变性，防止过拟合。最大池化最常用。","池化,下采样,最大池化,平均池化,感受野"
"71","神经网络","循环神经网络RNN","循环神经网络（RNN）专门处理序列数据（如文本、语音、时间序列）。它通过隐藏状态在时间步之间传递信息，使网络具有记忆能力。但普通 RNN 存在长期依赖（梯度消失）问题，改进的 LSTM 和 GRU 通过门控机制有效缓解了这一问题。","RNN,循环神经网络,序列,隐藏状态,LSTM"
"72","神经网络","LSTM长短期记忆网络","LSTM 是 RNN 的改进，通过引入细胞状态和三个门控（遗忘门、输入门、输出门）来选择性地记忆和遗忘信息，有效解决了普通 RNN 的长期依赖和梯度消失问题。它能捕捉序列中的长距离依赖，广泛用于机器翻译、语音识别、文本生成。","LSTM,长短期记忆,门控,细胞状态,长期依赖"
"73","神经网络","深度学习与机器学习的关系","深度学习是机器学习的一个分支，特指使用多层（深层）神经网络的方法。传统机器学习依赖人工特征工程，而深度学习能自动从原始数据中学习多层次特征表示。深度学习在图像、语音、自然语言等领域表现突出，但需要大量数据和算力。","深度学习,机器学习,特征学习,神经网络,表示学习"
"74","神经网络","epoch、batch、iteration","训练神经网络时：epoch 指全部训练样本完整训练一遍；batch（批）指一次梯度更新使用的样本子集；iteration（迭代）指完成一次 batch 的参数更新。例如 1000 个样本、batch_size=100，则一个 epoch 含 10 个 iteration。","epoch,batch,iteration,batch_size,训练轮次"
"75","数学基础","什么是机器学习","机器学习是人工智能的核心分支，指让计算机从数据中自动学习规律和模式，并用于预测或决策，而无需被显式编程。它主要分为监督学习、无监督学习、半监督学习和强化学习。机器学习的本质是从历史数据中归纳出模型，对新数据进行泛化。","机器学习,人工智能,数据驱动,泛化,模型"
"76","数学基础","机器学习的分类","机器学习按学习方式分为四类：监督学习（有标签，做分类回归）、无监督学习（无标签，做聚类降维）、半监督学习（少量标签+大量无标签）、强化学习（通过与环境交互、奖惩反馈学习策略）。课程主要涉及前三种，尤其是监督和无监督学习。","机器学习分类,监督学习,无监督学习,半监督,强化学习"
"77","数学基础","机器学习项目流程","完整的机器学习项目流程包括：①明确问题与目标；②数据收集；③数据预处理（清洗、缺失值异常值处理）；④特征工程；⑤模型选择与训练；⑥模型评估与调优；⑦模型部署与监控。这是一个迭代循环的过程，需要反复实验改进。","项目流程,数据预处理,特征工程,模型训练,部署"
"78","数学基础","强化学习","强化学习是机器学习的一类，智能体（agent）通过与环境交互，根据获得的奖励或惩罚来学习最优策略，目标是最大化长期累积奖励。核心概念有状态、动作、奖励、策略、价值函数。典型应用有 AlphaGo、游戏 AI、机器人控制、自动驾驶。","强化学习,智能体,奖励,策略,累积奖励"
"79","数学基础","向量与矩阵","向量是一组有序的数，可表示样本的特征；矩阵是二维数组，机器学习中常用矩阵表示整个数据集（行是样本、列是特征）。矩阵运算（加法、乘法、转置、求逆）是线性代数基础，神经网络的前向传播本质就是矩阵乘法和加法运算。","向量,矩阵,线性代数,矩阵乘法,数据表示"
"80","数学基础","导数与梯度","导数描述函数在某点的变化率（斜率）。梯度是多元函数对各变量偏导数组成的向量，指向函数值上升最快的方向。机器学习中沿梯度的反方向更新参数即可使损失下降，这是梯度下降法的数学基础。梯度为零的点是极值点的必要条件。","导数,梯度,偏导数,变化率,梯度下降"
"81","数学基础","概率与统计基础","概率论是机器学习的重要理论基础。常用概念有：概率分布（描述随机变量取值规律）、期望（均值）、方差（离散程度）、条件概率、独立性、最大似然估计。朴素贝叶斯、高斯混合模型等算法都直接建立在概率论之上。","概率,统计,期望,方差,最大似然"
"82","数学基础","信息熵","信息熵衡量随机变量的不确定性，熵越大不确定性越高、信息越混乱。公式为 H(X)=-Σp(x)log p(x)。当所有结果等概率时熵最大。信息熵是决策树（信息增益）、交叉熵损失函数等的理论基础，是信息论的核心概念。","信息熵,不确定性,信息论,信息增益,交叉熵"
"83","数学基础","欧氏距离与曼哈顿距离","距离度量衡量样本间相似性。欧氏距离是两点间直线距离（各维度差的平方和开根号），最常用；曼哈顿距离是各维度差绝对值之和（像城市街区行走）；还有余弦相似度（衡量方向夹角，常用于文本）。KNN、K-means 等算法都依赖距离度量。","欧氏距离,曼哈顿距离,余弦相似度,距离度量,相似性"
"84","数学基础","余弦相似度","余弦相似度通过计算两个向量夹角的余弦值来衡量它们方向上的相似程度，取值 -1 到 1，越接近 1 越相似。它只关注方向不关注长度，特别适合高维稀疏的文本向量比较，是信息检索、推荐系统和 RAG 文档检索的常用相似度指标。","余弦相似度,向量夹角,文本相似,信息检索,RAG"
"85","数学基础","最大似然估计","最大似然估计（MLE）是一种参数估计方法，它寻找使观测数据出现概率（似然函数）最大的参数值。直观理解就是：什么样的参数最可能产生我们观察到的数据。许多模型（逻辑回归、高斯分布拟合）的参数求解都基于最大似然估计。","最大似然估计,MLE,似然函数,参数估计,概率"
"86","数学基础","条件概率与独立性","条件概率 P(A|B) 表示在事件 B 发生条件下 A 发生的概率。若 P(A|B)=P(A)，则称 A 与 B 相互独立，即一个事件的发生不影响另一个。朴素贝叶斯的朴素假设正是假定所有特征在给定类别下条件独立，从而简化了概率计算。","条件概率,独立性,朴素假设,联合概率,贝叶斯"
